pago_id,socio_id,nivel,perfil_pago,monto,descuento,fecha_limite,fecha_pago,dias_retraso,metodo_pago
1,1,Premium,puntual,65,5,2024-07-01,2024-07-01,0,Tarjeta
2,1,Premium,puntual,70,0,2024-08-01,2024-08-01,0,Efectivo
3,1,Premium,puntual,65,5,2024-09-01,2024-09-02,1,Efectivo
4,1,Premium,puntual,70,0,2024-10-01,2024-10-03,2,Débito automático
5,1,Premium,puntual,70,0,2024-11-01,2024-11-01,0,Tarjeta
6,1,Premium,puntual,70,0,2024-12-01,2024-12-01,0,Tarjeta
7,1,Premium,puntual,70,0,2025-01-01,2025-01-01,0,Transferencia
8,1,Premium,puntual,60,10,2025-02-01,2025-02-03,2,Débito automático
9,1,Premium,puntual,65,5,2025-03-01,2025-03-02,1,Tarjeta
10,1,Premium,puntual,60,10,2025-04-01,2025-04-01,0,Transferencia
11,1,Premium,puntual,70,0,2025-05-01,2025-05-01,0,Tarjeta
12,1,Premium,puntual,70,0,2025-06-01,2025-06-01,0,Transferencia
13,2,Estándar,leve_retraso,50,0,2024-07-01,2024-07-01,0,Tarjeta
14,2,Estándar,leve_retraso,50,0,2024-08-01,2024-08-01,0,Tarjeta
15,2,Estándar,leve_retraso,50,0,2024-09-01,2024-09-06,5,Transferencia
16,2,Estándar,leve_retraso,50,0,2024-10-01,2024-10-01,0,Débito automático
17,2,Estándar,leve_retraso,50,0,2024-11-01,2024-11-04,3,Tarjeta
18,2,Estándar,leve_retraso,50,0,2024-12-01,2024-12-06,5,Tarjeta
19,2,Estándar,leve_retraso,50,0,2025-01-01,2025-01-04,3,Transferencia
20,2,Estándar,leve_retraso,50,0,2025-02-01,2025-02-01,0,Tarjeta
21,2,Estándar,leve_retraso,50,0,2025-03-01,2025-03-04,3,Efectivo
22,2,Estándar,leve_retraso,50,0,2025-04-01,2025-04-04,3,Tarjeta
23,2,Estándar,leve_retraso,50,0,2025-05-01,2025-05-06,5,Transferencia
24,2,Estándar,leve_retraso,50,0,2025-06-01,2025-06-06,5,Transferencia
25,3,Básico,puntual,30,0,2024-07-01,2024-07-01,0,Tarjeta
26,3,Básico,puntual,30,0,2024-08-01,2024-08-01,0,Tarjeta
27,3,Básico,puntual,30,0,2024-09-01,2024-09-01,0,Débito automático
28,3,Básico,puntual,30,0,2024-10-01,2024-10-01,0,Efectivo
29,3,Básico,puntual,30,0,2024-11-01,2024-11-02,1,Efectivo
30,3,Básico,puntual,30,0,2024-12-01,2024-12-01,0,Efectivo
31,3,Básico,puntual,30,0,2025-01-01,2025-01-01,0,Débito automático
32,3,Básico,puntual,30,0,2025-02-01,2025-02-01,0,Transferencia
33,3,Básico,puntual,30,0,2025-03-01,2025-03-03,2,Efectivo
34,3,Básico,puntual,30,0,2025-04-01,2025-04-01,0,Tarjeta
